POISSON BOLTZMANN:
Complex Energy Terms
Frame #,BOND,ANGLE,DIHED,UB,IMP,CMAP,VDWAALS,EEL,1-4 VDW,1-4 EEL,EPB,ENPOLAR,EDISPER,GGAS,GSOLV,TOTAL
1,894.49,2306.31,2767.56,256.62,136.74,12.59,-2050.98,-4888.38,1045.04,15089.23,0.0,2280.06,-1263.9,15569.24,1016.17,16585.4
2,967.64,2351.84,2777.36,274.51,135.98,-16.82,-1988.66,-4887.08,1016.11,15055.51,0.0,2303.39,-1297.46,15686.39,1005.94,16692.33
3,960.83,2270.56,2749.01,256.66,131.94,4.06,-2021.04,-4873.05,1019.55,15003.61,0.0,2290.1,-1278.0,15502.14,1012.1,16514.24
4,962.02,2264.62,2764.42,263.38,150.93,-5.14,-2028.01,-4899.85,1022.32,15154.51,0.0,2304.99,-1287.97,15649.21,1017.02,16666.23
5,872.12,2259.28,2733.62,257.09,121.89,-11.4,-2041.14,-4886.16,1010.0,15097.1,0.0,2300.15,-1292.36,15412.4,1007.78,16420.18
6,939.25,2318.03,2756.53,274.83,146.74,-8.65,-2032.1,-4875.36,1020.57,15110.57,0.0,2294.47,-1279.57,15650.4,1014.91,16665.3
7,929.14,2425.74,2744.45,273.73,140.9,0.41,-2037.75,-4873.49,1002.24,15027.24,0.0,2287.17,-1279.19,15632.62,1007.98,16640.6
8,930.12,2334.52,2707.84,264.73,143.85,-9.31,-2013.88,-4879.9,1000.86,15055.64,0.0,2295.42,-1290.88,15534.46,1004.53,16538.99
9,939.53,2296.04,2726.07,254.15,141.07,-11.27,-2020.28,-4862.4,979.68,14934.09,0.0,2298.19,-1287.51,15376.69,1010.68,16387.37
10,919.8,2282.62,2738.99,273.37,137.94,-9.34,-1954.24,-4886.44,1021.21,14977.29,0.0,2294.75,-1297.26,15501.2,997.49,16498.69
11,912.95,2358.65,2713.01,263.84,145.38,-0.45,-1982.62,-4881.3,999.31,14985.68,0.0,2296.6,-1288.9,15514.45,1007.7,16522.15
12,880.86,2377.94,2712.05,269.26,130.96,-4.33,-2012.11,-4878.65,1020.48,14978.96,0.0,2295.19,-1287.73,15475.41,1007.47,16482.88
13,945.02,2302.91,2740.12,274.09,145.15,-13.79,-1974.65,-4875.85,1028.22,14958.83,0.0,2297.55,-1285.24,15530.04,1012.31,16542.36
14,940.5,2281.62,2740.11,258.7,138.71,-24.97,-1987.75,-4863.36,1012.59,14949.7,0.0,2316.6,-1294.65,15445.84,1021.95,16467.8
15,943.12,2235.93,2709.48,271.32,141.81,-0.65,-1973.32,-4892.25,1012.41,15065.69,0.0,2290.86,-1273.1,15513.56,1017.76,16531.32
16,926.11,2300.51,2712.72,259.48,141.88,-17.81,-2010.12,-4870.26,1009.65,14992.61,0.0,2293.67,-1278.36,15444.77,1015.32,16460.09
17,931.81,2307.96,2740.08,252.3,138.31,-21.72,-2045.22,-4880.87,1007.94,15033.84,0.0,2286.28,-1269.3,15464.43,1016.98,16481.41
18,963.82,2308.8,2739.3,269.87,147.22,-19.07,-2052.3,-4883.34,1020.64,15097.08,0.0,2283.9,-1263.55,15592.02,1020.35,16612.37
19,964.41,2378.94,2755.38,269.22,142.08,-6.68,-2065.29,-4881.65,995.14,15067.79,0.0,2279.57,-1256.28,15619.35,1023.29,16642.64
20,938.27,2264.21,2739.74,264.1,137.77,-20.8,-2024.88,-4892.9,996.17,15120.02,0.0,2298.09,-1281.54,15521.69,1016.55,16538.24
21,928.82,2364.58,2760.98,258.14,147.75,-7.03,-2026.11,-4881.46,1000.4,15019.7,0.0,2301.92,-1275.18,15565.77,1026.75,16592.52
22,963.94,2264.16,2708.46,260.5,138.54,-9.78,-2051.07,-4878.24,982.47,15050.33,0.0,2300.82,-1278.47,15429.31,1022.35,16451.65
23,926.79,2368.37,2727.69,265.45,138.04,-12.27,-1996.77,-4873.94,1018.0,14978.17,0.0,2302.43,-1293.27,15539.53,1009.17,16548.69
24,930.98,2275.72,2744.59,261.18,137.83,-7.75,-2015.35,-4896.12,1004.0,15066.26,0.0,2289.32,-1273.03,15501.35,1016.29,16517.64
25,920.02,2287.75,2734.93,266.49,141.14,-23.36,-2036.98,-4862.35,1028.58,14985.27,0.0,2281.12,-1255.41,15441.5,1025.71,16467.21
26,958.06,2364.61,2733.12,266.55,142.14,-4.9,-2018.74,-4874.99,988.83,15000.23,0.0,2301.87,-1283.97,15554.92,1017.9,16572.81
27,957.19,2423.83,2728.44,276.37,148.02,-6.94,-2000.51,-4874.53,1012.47,14962.82,0.0,2298.86,-1286.41,15627.16,1012.45,16639.61
28,923.73,2326.16,2724.81,262.28,117.95,-4.05,-2041.92,-4881.51,1014.88,15060.38,0.0,2296.62,-1289.5,15502.71,1007.11,16509.82
29,990.08,2305.46,2692.29,264.05,137.34,3.8,-2017.79,-4889.81,1002.82,15039.74,0.0,2286.97,-1274.16,15527.98,1012.81,16540.79
30,942.43,2281.53,2747.84,272.14,144.34,-14.74,-2015.51,-4885.69,1009.22,15045.3,0.0,2296.75,-1283.97,15526.86,1012.78,16539.63
31,990.88,2338.67,2727.5,257.96,133.99,-14.74,-2039.42,-4865.73,1027.24,14950.55,0.0,2293.39,-1272.87,15506.91,1020.52,16527.42
32,910.87,2342.18,2730.96,261.38,144.27,-12.19,-2036.17,-4874.36,1011.92,15028.37,0.0,2278.4,-1268.74,15507.24,1009.67,16516.9
33,945.87,2371.03,2741.16,259.31,141.79,-21.14,-2016.03,-4865.27,994.0,15001.47,0.0,2290.73,-1282.9,15552.17,1007.84,16560.01
