POISSON BOLTZMANN:
Complex Energy Terms
Frame #,BOND,ANGLE,DIHED,UB,IMP,CMAP,VDWAALS,EEL,1-4 VDW,1-4 EEL,EPB,ENPOLAR,EDISPER,GGAS,GSOLV,TOTAL
1,1015.35,2503.59,2946.51,291.92,153.84,12.94,-2179.58,-5276.06,1061.26,16067.84,0.0,2432.05,-1351.05,16597.61,1081.01,17678.62
2,1032.3,2485.97,2908.45,278.6,158.96,1.14,-2168.83,-5271.96,1048.8,16097.84,0.0,2433.62,-1340.67,16571.26,1092.95,17664.21
3,966.27,2369.24,2889.83,294.5,140.06,4.27,-2165.87,-5286.88,1091.55,16131.59,0.0,2431.1,-1348.68,16434.56,1082.43,17516.99
4,994.69,2471.79,2951.97,288.5,165.1,-8.52,-2145.15,-5277.66,1061.9,16131.12,0.0,2443.47,-1362.02,16633.74,1081.45,17715.19
5,1013.58,2438.09,2928.91,294.08,185.91,-22.62,-2175.26,-5270.35,1040.93,16064.96,0.0,2442.64,-1359.79,16498.23,1082.85,17581.08
6,1014.39,2469.35,2920.77,280.69,151.55,-9.59,-2159.96,-5287.84,1066.77,16129.27,0.0,2440.95,-1366.03,16575.39,1074.92,17650.31
7,1058.24,2410.82,2916.59,279.09,156.45,-23.81,-2124.66,-5292.5,1072.1,16203.43,0.0,2457.41,-1382.93,16655.76,1074.49,17730.25
8,1009.24,2455.82,2921.59,299.96,146.5,-9.51,-2129.42,-5274.82,1072.4,16128.89,0.0,2448.89,-1370.6,16620.65,1078.3,17698.94
9,1014.36,2456.63,2895.48,286.67,151.07,-4.73,-2177.85,-5280.08,1062.72,16155.91,0.0,2440.57,-1353.85,16560.17,1086.72,17646.89
10,1040.79,2453.35,2897.34,284.21,142.64,-23.8,-2150.48,-5288.77,1057.6,16128.28,0.0,2450.38,-1364.82,16541.16,1085.56,17626.72
11,1020.28,2537.86,2916.32,278.08,151.3,-32.13,-2210.84,-5258.69,1050.96,16058.64,0.0,2433.03,-1340.74,16511.76,1092.29,17604.06
